date,spy
2020-05-15,278.1018372
2020-05-18,286.5726929
2020-05-19,283.6292114
2020-05-20,288.4475403
2020-05-21,286.4561157
2020-05-22,287.0001831
2020-05-26,290.5361328
2020-05-27,294.8590393
2020-05-28,294.315033
2020-05-29,295.6264954
2020-06-01,296.8212891
2020-06-02,299.2789917
2020-06-03,303.2619324
2020-06-04,302.4653625
2020-06-05,310.2173767
2020-06-08,313.9671631
2020-06-09,311.6259766
2020-06-10,309.8871155
2020-06-11,292.0224609
2020-06-12,295.5196228
2020-06-15,298.2784729
2020-06-16,304.0196838
2020-06-17,302.7567749
2020-06-18,302.8733521
2020-06-19,301.1424561
2020-06-22,303.0743713
2020-06-23,304.4696045
2020-06-24,296.7029419
2020-06-25,299.8838501
2020-06-26,292.7611084
2020-06-29,297.0639954
2020-06-30,300.8692322
2020-07-01,302.9767456
2020-07-02,304.6452637
2020-07-06,309.3481445
2020-07-07,306.1575928
2020-07-08,308.4992676
2020-07-09,306.742981
