,Unnamed: 0,date,bull score,bear score
434,434,2018-09-25,0.081967213,0.147540984
435,435,2018-09-26,0.122807018,0.122807018
436,436,2018-09-27,0.086419753,0.135802469
437,437,2018-09-28,0.055555556,0.166666667
438,438,2018-09-29,0.148148148,0.037037037
439,439,2018-09-30,0.2,0.066666667
440,440,2018-10-01,0.08,0.14
441,441,2018-10-02,0.094339623,0.094339623
442,442,2018-10-03,0.214285714,0.035714286
443,443,2018-10-04,0.233333333,0.133333333
444,444,2018-10-05,0.236842105,0.078947368
445,445,2018-10-06,0.3,0.15
446,446,2018-10-07,0.352941176,0.058823529
447,447,2018-10-08,0.194444444,0.111111111
448,448,2018-10-09,0.129032258,0.096774194
449,449,2018-10-10,0.0875,0.1
450,450,2018-10-11,0.180327869,0.163934426
451,451,2018-10-12,0.066666667,0.044444444
452,452,2018-10-13,0.25,0.041666667
453,453,2018-10-14,0.090909091,0.181818182
454,454,2018-10-15,0.1,0.075
455,455,2018-10-16,0.219512195,0.170731707
456,456,2018-10-17,0.127272727,0.036363636
457,457,2018-10-18,0.125,0.104166667
458,458,2018-10-19,0.15625,0.0625
459,459,2018-10-20,0.095238095,0.0
460,460,2018-10-21,0.25,0.125
461,461,2018-10-22,0.138888889,0.222222222
462,462,2018-10-23,0.158730159,0.142857143
463,463,2018-10-24,0.183098592,0.126760563
464,464,2018-10-25,0.157142857,0.214285714
465,465,2018-10-26,0.098039216,0.137254902
466,466,2018-10-27,0.055555556,0.111111111
467,467,2018-10-28,0.076923077,0.307692308
468,468,2018-10-29,0.1,0.125
469,469,2018-10-30,0.097560976,0.146341463
470,470,2018-10-31,0.057142857,0.114285714
471,471,2018-11-01,0.173913043,0.108695652
472,472,2018-11-02,0.111111111,0.148148148
473,473,2018-11-03,0.166666667,0.0
474,474,2018-11-04,0.111111111,0.111111111
475,475,2018-11-05,0.131578947,0.052631579
476,476,2018-11-06,0.137931034,0.103448276
477,477,2018-11-07,0.095238095,0.071428571
478,478,2018-11-08,0.125,0.15
479,479,2018-11-09,0.083333333,0.194444444
480,480,2018-11-10,0.117647059,0.294117647
481,481,2018-11-11,0.176470588,0.058823529
482,482,2018-11-12,0.066666667,0.111111111
483,483,2018-11-13,0.128205128,0.179487179
